FIPS,2014 EPL_AGE17,2015 EPL_AGE17,2016 EPL_AGE17,2017 EPL_AGE17,2018 EPL_AGE17,2019 EPL_AGE17,2020 EPL_AGE17
05069,58.29,58.61,58.93,54.67,50.4,49.23,48.06
05071,71.63,73.32,75.01,75.81,76.6,77.57,78.55
05073,33.62,29.35,25.09,22.22,19.36,17.7,16.04
05075,42.69,44.14,45.59,48.0,50.4,49.23,48.06
05077,15.09,16.48,17.86,15.38,12.89,12.27,11.65
05079,7.7,7.2,6.69,6.37,6.05,6.04,6.02
05081,54.19,53.12,52.05,49.23,46.42,48.61,50.8
05083,55.01,51.4,47.79,47.68,47.56,45.77,43.98
05085,90.51,90.13,89.75,89.43,89.11,88.57,88.03
05087,63.39,63.72,64.06,66.16,68.26,65.92,63.59
05089,4.65,5.33,6.02,8.36,10.7,10.72,10.73
05091,69.25,70.95,72.65,71.08,69.5,70.43,71.36
05093,91.6,91.58,91.56,91.15,90.74,90.64,90.55
05095,41.26,36.54,31.81,28.65,25.5,29.89,34.28
05097,16.46,16.81,17.16,15.02,12.89,12.92,12.95
05099,64.06,58.44,52.82,53.66,54.5,55.54,56.59
05101,18.62,18.95,19.29,19.62,19.96,20.8,21.64
05103,53.04,53.18,53.33,53.18,53.04,54.13,55.22
05105,44.83,43.11,41.39,48.58,55.78,52.73,49.68
05107,92.01,91.74,91.47,90.07,88.67,88.59,88.51
05109,65.84,61.59,57.34,48.67,39.99,40.38,40.77
05111,64.95,66.47,68.0,68.75,69.5,71.92,74.35
05113,61.0,61.98,62.97,62.94,62.91,62.64,62.38
05115,51.89,52.52,53.14,55.14,57.15,57.76,58.37
05117,27.25,27.22,27.19,26.34,25.5,27.81,30.11
05119,64.88,66.12,67.37,66.59,65.81,65.35,64.89
05121,50.37,50.4,50.43,53.79,57.15,63.5,69.86
05123,54.79,54.08,53.36,49.19,45.02,42.9,40.77
05125,66.73,67.32,67.91,67.51,67.11,66.75,66.39
05127,74.47,73.37,72.27,80.23,88.19,79.77,71.36
05129,25.57,22.67,19.77,21.15,22.54,22.09,21.64
05131,77.87,77.87,77.87,76.58,75.29,75.46,75.62
05133,95.7,95.81,95.92,95.86,95.8,95.8,95.8
05135,28.3,29.65,31.01,33.03,35.05,33.09,31.13
05137,22.89,21.66,20.44,20.66,20.89,21.26,21.64
05139,63.8,67.27,70.74,72.4,74.05,75.33,76.61
05141,18.15,19.23,20.31,21.42,22.54,20.67,18.81
05143,82.2,82.14,82.08,81.57,81.06,79.8,78.55
05145,63.07,64.18,65.3,66.2,67.11,67.39,67.66
05147,43.17,41.07,38.97,39.48,39.99,39.74,39.5
05149,84.27,82.6,80.93,81.4,81.88,78.75,75.62
06001,36.93,35.96,34.99,33.58,32.16,31.14,30.11
06003,13.31,35.94,58.58,44.74,30.91,37.44,43.98
06005,2.45,2.21,1.97,1.99,2.01,2.33,2.64
06007,21.97,22.35,22.73,22.64,22.54,24.06,25.59
06009,8.63,7.77,6.91,6.35,5.79,5.63,5.47
06011,95.1,94.42,93.73,93.72,93.7,93.84,93.98
06013,66.95,65.41,63.87,62.18,60.49,59.43,58.37
06015,30.09,31.18,32.28,36.14,39.99,41.98,43.98
06017,34.67,32.17,29.67,27.59,25.5,24.68,23.87
06019,95.83,95.84,95.86,95.78,95.7,95.67,95.64
06021,91.53,91.68,91.82,91.66,91.5,91.86,92.23
06023,14.01,15.04,16.08,16.03,15.98,16.39,16.8
06025,95.16,95.4,95.64,95.72,95.8,95.94,96.09
06027,26.65,26.26,25.88,24.21,22.54,27.2,31.86
06029,96.66,96.61,96.56,96.44,96.31,96.34,96.37
06031,92.61,92.79,92.96,93.17,93.38,93.38,93.38
06033,22.38,22.68,22.99,25.72,28.46,31.37,34.28
06035,1.08,2.16,3.25,2.93,2.61,3.31,4.01
06037,59.85,56.86,53.87,50.72,47.56,45.77,43.98
06039,93.76,93.81,93.86,94.06,94.27,94.22,94.18
06041,22.25,23.7,25.15,24.93,24.71,24.59,24.47
06043,4.14,3.76,3.37,3.32,3.28,4.03,4.77
06045,36.87,37.87,38.87,38.74,38.62,38.26,37.91
06047,97.61,97.39,97.17,97.1,97.04,97.06,97.07
06049,28.78,24.6,20.41,18.66,16.91,19.28,21.64
06051,19.29,18.92,18.56,16.0,13.44,22.28,31.13
06053,88.83,89.3,89.78,89.72,89.65,90.1,90.55
06055,42.47,41.46,40.46,37.76,35.05,32.58,30.11
06057,7.45,6.9,6.34,6.19,6.05,6.36,6.68
06059,61.8,59.09,56.38,53.94,51.51,49.78,48.06
06061,61.6,58.71,55.81,54.42,53.04,51.92,50.8
06063,4.36,3.92,3.47,3.49,3.5,4.76,6.02
06065,91.09,90.36,89.62,88.74,87.87,86.71,85.55
06067,77.78,76.84,75.9,74.26,72.62,71.99,71.36
06069,92.77,92.28,91.79,90.72,89.65,89.08,88.51
06071,93.82,93.26,92.71,92.1,91.5,91.4,91.31
06073,49.63,48.58,47.53,46.28,45.02,43.72,42.43
06075,0.48,0.59,0.7,0.73,0.76,0.81,0.86
06077,94.59,94.34,94.08,94.03,93.98,93.68,93.38
06079,7.96,8.04,8.12,7.99,7.86,8.4,8.94
06081,35.88,35.94,36.01,34.64,33.27,31.15,29.03
06083,48.33,49.02,49.7,49.38,49.06,50.63,52.2
06085,61.1,59.3,57.5,54.5,51.51,49.32,47.14
06087,22.45,21.7,20.95,19.74,18.53,17.66,16.8
06089,36.52,36.99,37.47,38.04,38.62,40.52,42.43
06091,3.12,2.05,0.99,1.26,1.53,2.08,2.64
06093,21.11,21.58,22.06,22.8,23.53,24.99,26.45
06095,61.51,58.8,56.1,53.8,51.51,51.15,50.8
06097,29.32,27.82,26.33,24.44,22.54,21.82,21.1
06099,93.12,93.0,92.87,92.92,92.96,93.17,93.38
06101,90.1,89.84,89.59,89.46,89.33,89.34,89.34
06103,74.4,72.76,71.12,71.87,72.62,73.48,74.35
06105,5.03,5.0,4.97,5.05,5.13,6.08,7.03
06107,98.41,98.26,98.12,98.01,97.9,97.9,97.9
06109,3.47,3.64,3.82,4.14,4.46,4.96,5.47
06111,77.59,75.34,73.1,69.46,65.81,63.49,61.17
06113,39.96,38.86,37.76,37.02,36.29,35.28,34.28
06115,94.56,94.28,94.01,94.24,94.46,94.44,94.43
08001,93.86,93.76,93.66,93.31,92.96,92.28,91.6
08003,70.77,74.14,77.52,74.37,71.22,74.46,77.69
08005,78.8,78.07,77.33,75.69,74.05,71.4,68.75
08007,7.35,6.78,6.21,5.9,5.6,6.89,8.18
08009,30.98,33.11,35.24,31.85,28.46,30.81,33.16
08011,3.06,2.82,2.58,2.3,2.01,2.3,2.58
08013,23.46,22.4,21.33,19.93,18.53,17.28,16.04
08014,81.57,78.76,75.96,72.11,68.26,63.32,58.37
08015,2.13,2.14,2.16,2.13,2.1,2.16,2.23
08017,91.34,94.06,96.78,98.02,99.27,98.43,97.58
08019,2.52,2.53,2.55,2.5,2.45,3.15,3.85
08021,92.65,92.63,92.61,92.63,92.65,91.0,89.34
08023,20.03,15.86,11.68,10.49,9.3,7.72,6.14
08025,1.11,0.88,0.64,0.51,0.38,0.88,1.37
08027,1.15,5.07,8.98,7.38,5.79,3.92,2.04
08029,29.16,28.88,28.59,27.04,25.5,22.98,20.46
08031,26.9,26.95,27.0,25.27,23.53,21.63,19.73
08033,12.73,17.08,21.43,18.7,15.98,9.07,2.16
08035,96.08,95.54,95.0,93.98,92.96,91.15,89.34
08037,60.9,58.8,56.7,52.88,49.06,45.74,42.43
08039,65.2,58.74,52.28,47.76,43.23,40.57,37.91
08041,84.4,83.34,82.27,80.77,79.27,77.44,75.62
08043,3.63,3.26,2.9,3.34,3.79,3.65,3.5
08045,88.57,88.46,88.35,87.74,87.14,86.55,85.96
08047,30.82,24.14,17.45,10.27,3.09,3.63,4.17
08049,23.05,15.44,7.83,7.45,7.07,7.22,7.38
08051,8.47,7.62,6.78,7.06,7.35,7.01,6.68
08053,0.32,2.84,5.35,3.98,2.61,2.13,1.65
08055,3.15,2.76,2.36,2.66,2.96,3.04,3.12
08057,19.71,12.68,5.64,10.01,14.39,7.71,1.02
08059,32.22,30.44,28.65,26.68,24.71,23.18,21.64
08061,94.94,94.22,93.51,94.72,95.92,95.67,95.42
08063,44.06,42.37,40.69,53.25,65.81,75.5,85.2
08065,49.41,33.86,18.31,11.39,4.46,4.32,4.17
08067,16.17,15.93,15.7,15.38,15.06,14.55,14.04
08069,24.8,24.53,24.26,23.4,22.54,21.5,20.46
08071,16.87,12.81,8.76,8.62,8.47,10.06,11.65
08073,5.57,12.2,18.82,20.22,21.62,23.6,25.59
08075,11.27,14.48,17.7,27.0,36.29,23.27,10.25
08077,51.32,50.05,48.77,46.9,45.02,43.72,42.43
08079,0.03,0.08,0.13,0.12,0.1,1.28,2.45
08081,87.9,87.47,87.04,87.62,88.19,88.6,89.02
08083,49.82,48.83,47.85,49.12,50.4,47.19,43.98
08085,55.71,51.68,47.66,46.34,45.02,41.46,37.91
08087,91.5,91.0,90.51,90.08,89.65,89.49,89.34
08089,66.19,66.53,66.86,65.46,64.06,69.84,75.62
08091,0.67,0.72,0.76,0.94,1.11,1.46,1.81
08093,5.19,4.49,3.79,4.92,6.05,4.41,2.77
08095,84.46,74.99,65.52,76.33,87.14,90.48,93.83
08097,3.31,3.14,2.96,2.9,2.83,3.8,4.77
08099,90.0,88.26,86.53,84.91,83.29,85.22,87.14
08101,63.87,62.78,61.7,59.42,57.15,56.18,55.22
08103,61.73,68.61,75.49,81.32,87.14,79.98,72.82
08105,73.0,71.49,69.98,67.02,64.06,61.9,59.74
08107,16.59,14.77,12.96,12.13,11.3,10.12,8.94
08109,42.34,49.48,56.61,49.2,41.8,42.12,42.43
08111,0.19,0.2,0.22,0.3,0.38,6.34,12.29
08113,10.47,11.85,13.24,11.6,9.96,8.49,7.03
08115,17.38,18.92,20.47,38.81,57.15,74.23,91.31
08117,3.41,3.58,3.76,3.78,3.79,4.63,5.47
08119,12.8,11.34,9.87,9.41,8.95,7.99,7.03
08121,34.42,38.65,42.88,50.02,57.15,52.6,48.06
08123,91.31,91.14,90.96,90.85,90.74,90.46,90.17
08125,89.72,90.74,91.75,91.62,91.5,91.71,91.92
09001,67.88,66.33,64.79,61.97,59.15,57.18,55.22
09003,40.08,39.2,38.33,36.69,35.05,34.66,34.28
09005,21.01,18.37,15.73,14.08,12.42,11.86,11.3
09007,18.66,16.08,13.5,11.88,10.25,9.59,8.94
09009,33.65,32.44,31.23,29.35,27.48,26.96,26.45
09011,25.79,24.23,22.67,21.32,19.96,20.21,20.46
09013,12.64,11.24,9.84,8.85,7.86,7.62,7.38
09015,31.3,29.31,27.32,25.42,23.53,23.16,22.79
10001,68.61,66.94,65.27,63.52,61.76,62.07,62.38
10003,46.2,45.29,44.38,43.09,41.8,41.28,40.77
10005,16.78,16.53,16.27,14.86,13.44,13.44,13.43
11001,3.79,4.56,5.32,6.48,7.64,8.94,10.25
12001,5.83,6.46,7.1,7.78,8.47,9.36,10.25
12003,81.76,79.6,77.43,75.74,74.05,70.22,66.39
12005,34.38,35.48,36.58,37.6,38.62,37.18,35.74
12007,14.87,16.89,18.91,21.81,24.71,22.58,20.46
12009,10.6,10.74,10.89,10.79,10.7,11.18,11.65
12011,36.49,36.68,36.87,36.58,36.29,36.51,36.73
12013,26.81,29.33,31.84,34.06,36.29,30.94,25.59
12015,0.57,0.51,0.45,0.38,0.32,0.38,0.45
12017,1.56,1.45,1.34,1.34,1.34,1.58,1.81
12019,80.1,77.34,74.59,72.04,69.5,67.94,66.39
12021,9.11,8.58,8.05,7.7,7.35,7.01,6.68
12023,37.6,39.11,40.62,41.92,43.23,42.83,42.43
12027,32.0,29.8,27.6,23.06,18.53,18.67,18.81
12029,11.68,11.04,10.41,10.86,11.3,11.02,10.73
12031,54.06,54.06,54.06,54.28,54.5,55.54,56.59
12033,27.83,28.59,29.35,30.13,30.91,32.04,33.16
12035,10.12,8.99,7.86,7.31,6.75,6.44,6.14
12037,3.34,3.32,3.31,3.4,3.5,3.5,3.5
12039,47.88,47.37,46.86,45.04,43.23,43.6,43.98
12041,23.37,25.3,27.22,25.38,23.53,31.52,39.5
12043,7.42,5.64,3.85,3.3,2.74,2.48,2.23
12045,1.78,2.21,2.64,3.07,3.5,2.53,1.56
12047,8.25,9.87,11.49,12.46,13.44,15.12,16.8
12049,92.42,91.98,91.53,90.99,90.45,90.5,90.55
12051,93.28,93.41,93.54,92.78,92.01,92.29,92.58
12053,11.11,11.24,11.37,11.34,11.3,11.8,12.29
12055,6.37,6.28,6.18,6.11,6.05,6.1,6.14
12057,57.82,58.63,59.44,58.3,57.15,54.68,52.2
12059,21.68,21.24,20.79,19.66,18.53,21.5,24.47
12061,6.69,6.13,5.57,5.22,4.87,4.36,3.85
12063,10.06,10.44,10.82,11.06,11.3,12.12,12.95
12065,5.64,5.01,4.39,3.94,3.5,3.84,4.17
12067,19.9,23.84,27.79,39.65,51.51,37.15,22.79
12069,19.36,19.23,19.1,18.81,18.53,18.13,17.73
12071,10.51,10.35,10.19,9.57,8.95,8.75,8.56
12073,11.49,11.33,11.17,11.52,11.88,12.66,13.43
12075,21.62,21.49,21.36,21.12,20.89,20.67,20.46
12077,18.88,15.68,12.48,8.47,4.46,8.06,11.65
12079,23.4,21.76,20.12,16.78,13.44,12.54,11.65
12081,16.81,16.14,15.47,14.18,12.89,12.27,11.65
12083,10.09,10.56,11.02,11.45,11.88,12.96,14.04
12085,4.04,4.17,4.3,4.23,4.17,4.35,4.52
12086,27.79,26.92,26.04,25.77,25.5,26.83,28.17
12087,1.21,1.26,1.31,1.42,1.53,2.08,2.64
12089,26.04,25.4,24.77,23.65,22.54,22.66,22.79
12091,41.71,43.46,45.21,46.38,47.56,49.18,50.8
12093,55.36,54.31,53.26,47.53,41.8,39.85,37.91
12095,53.07,53.04,53.01,52.26,51.51,50.6,49.68
12097,84.18,83.59,83.0,82.03,81.06,80.24,79.41
12099,16.75,16.83,16.91,16.91,16.91,16.86,16.8
12101,24.13,24.54,24.96,25.23,25.5,26.37,27.24
12103,4.43,4.49,4.55,4.36,4.17,4.17,4.17
12105,53.23,52.88,52.53,51.46,50.4,50.04,49.68
12107,39.16,39.39,39.61,38.54,37.47,38.48,39.5
12109,43.87,43.34,42.82,43.03,43.23,44.5,45.77
12111,32.31,30.32,28.33,26.52,24.71,23.75,22.79
12113,52.94,51.98,51.03,49.3,47.56,47.81,48.06
12115,1.53,1.34,1.15,1.13,1.11,1.2,1.3
12117,38.59,37.46,36.33,35.69,35.05,34.66,34.28
12119,0.06,0.06,0.06,0.04,0.03,0.04,0.06
12121,35.5,35.2,34.89,37.44,39.99,40.38,40.77
12123,9.26,11.54,13.82,14.44,15.06,16.93,18.81
12125,12.38,12.59,12.8,12.84,12.89,12.92,12.95
12127,7.58,7.46,7.35,7.6,7.86,8.21,8.56
12129,29.93,29.86,29.8,33.04,36.29,34.72,33.16
12131,17.86,21.18,24.51,24.61,24.71,26.44,28.17
12133,22.73,21.4,20.06,20.01,19.96,19.85,19.73
13001,82.52,83.43,84.34,83.54,82.74,82.78,82.81
13003,94.78,95.14,95.51,94.6,93.7,92.96,92.23
13005,79.34,83.08,86.82,86.68,86.53,87.28,88.03
13007,34.83,20.17,5.51,12.74,19.96,13.23,6.49
13009,15.06,14.92,14.77,14.92,15.06,14.55,14.04
13011,70.61,67.65,64.69,61.92,59.15,60.16,61.17
13013,92.71,92.4,92.1,91.42,90.74,90.29,89.85
13015,85.13,84.6,84.08,82.12,80.17,78.39,76.61
13017,86.5,87.22,87.93,86.31,84.69,83.75,82.81
13019,73.13,74.53,75.93,75.61,75.29,75.95,76.61
13021,83.54,83.19,82.84,81.95,81.06,79.8,78.55
13023,38.78,42.6,46.42,44.82,43.23,32.44,21.64
13025,80.52,82.86,85.2,79.62,74.05,75.33,76.61
13027,47.79,44.0,40.21,41.72,43.23,45.64,48.06
13029,95.51,95.82,96.12,96.31,96.5,96.76,97.01
13031,20.18,19.39,18.59,20.1,21.62,22.74,23.87
13033,90.7,90.12,89.53,89.32,89.11,89.48,89.85
13035,37.89,36.21,34.54,31.5,28.46,27.02,25.59
13037,12.51,12.05,11.59,9.72,7.86,8.02,8.18
13039,86.76,84.45,82.14,80.34,78.54,78.11,77.69
13043,85.39,84.38,83.38,83.34,83.29,83.93,84.56
13045,76.63,76.39,76.15,74.38,72.62,72.72,72.82
13047,69.98,68.36,66.73,64.24,61.76,60.07,58.37
13049,13.79,14.37,14.96,14.68,14.39,14.22,14.04
13051,42.28,42.96,43.65,42.72,41.8,39.26,36.73
13053,84.11,70.76,57.4,47.43,37.47,35.32,33.16
13055,46.32,45.22,44.13,48.58,53.04,54.81,56.59
13057,89.56,88.97,88.38,86.54,84.69,82.05,79.41
13059,4.55,4.99,5.44,5.95,6.46,6.92,7.38
13061,95.57,87.1,78.64,48.18,17.73,19.69,21.64
13063,94.62,94.8,94.97,95.1,95.22,95.18,95.13
13065,91.37,91.84,92.3,91.9,91.5,89.32,87.14
13067,79.11,79.1,79.08,77.18,75.29,72.58,69.86
13069,81.06,80.89,80.71,79.99,79.27,79.88,80.49
13071,91.47,91.24,91.02,90.54,90.07,89.54,89.02
13073,89.08,88.85,88.63,87.88,87.14,86.55,85.96
13075,89.49,89.92,90.35,89.27,88.19,87.66,87.14
13077,88.73,87.96,87.2,85.24,83.29,81.35,79.41
13079,37.63,37.09,36.55,35.37,34.19,31.61,29.03
13081,82.3,80.8,79.31,80.6,81.88,78.75,75.62
13083,20.76,17.4,14.04,13.46,12.89,14.84,16.8
13085,40.62,37.52,34.42,33.29,32.16,28.32,24.47
13087,79.53,79.96,80.39,79.83,79.27,78.48,77.69
13089,63.42,65.57,67.72,65.89,64.06,64.47,64.89
13091,31.33,30.63,29.93,25.78,21.62,20.22,18.81
13093,20.79,18.91,17.03,13.16,9.3,8.34,7.38
13095,81.28,81.51,81.73,79.16,76.6,74.71,72.82
13097,92.07,91.64,91.21,90.64,90.07,89.7,89.34
13099,80.87,81.17,81.47,81.68,81.88,82.74,83.61
13101,93.47,93.44,93.41,66.02,38.62,57.12,75.62
13103,92.3,92.07,91.85,91.68,91.5,91.55,91.6
13105,45.5,44.6,43.71,43.47,43.23,44.5,45.77
13107,79.97,80.66,81.34,82.32,83.29,83.45,83.61
13109,87.17,88.1,89.02,89.74,90.45,91.18,91.92
13111,6.46,6.43,6.4,6.0,5.6,5.18,4.77
13113,77.97,74.24,70.52,67.29,64.06,63.82,63.59
13115,64.63,65.52,66.41,65.24,64.06,63.82,63.59
